"il","neden","gelen_sayi","giden_sayi","net_goc"
"Adana","Tayin / iş değişikliği Assignation / change of job",6221,5251,970
"Adana","İşe başlamak / iş bulmak Starting / finding a job",3796,4260,-464
"Adana","Eğitim Education",8595,12816,-4221
"Adana","Daha iyi konut ve yaşam koşulları Better housing and living conditions",11416,10465,951
"Adana","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",11715,12071,-356
"Adana","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",4134,2688,1446
"Adana","Sağlık / bakım Health / care",259,263,-4
"Adana","Ev alınması Buying a house",976,1255,-279
"Adana","Emeklilik Retirement",231,237,-6
"Adana","Diğer Other",746,998,-252
"Adana","Bilinmeyen Unknown",4606,2361,2245
"Adıyaman","Tayin / iş değişikliği Assignation / change of job",1637,2069,-432
"Adıyaman","İşe başlamak / iş bulmak Starting / finding a job",1248,1663,-415
"Adıyaman","Eğitim Education",3813,4609,-796
"Adıyaman","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2607,4202,-1595
"Adıyaman","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",3402,4362,-960
"Adıyaman","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",6877,1203,5674
"Adıyaman","Sağlık / bakım Health / care",71,104,-33
"Adıyaman","Ev alınması Buying a house",286,475,-189
"Adıyaman","Emeklilik Retirement",47,56,-9
"Adıyaman","Diğer Other",396,370,26
"Adıyaman","Bilinmeyen Unknown",1132,810,322
"Afyonkarahisar","Tayin / iş değişikliği Assignation / change of job",2199,2770,-571
"Afyonkarahisar","İşe başlamak / iş bulmak Starting / finding a job",1681,2657,-976
"Afyonkarahisar","Eğitim Education",5631,5081,550
"Afyonkarahisar","Daha iyi konut ve yaşam koşulları Better housing and living conditions",3299,3914,-615
"Afyonkarahisar","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",3941,4808,-867
"Afyonkarahisar","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",542,753,-211
"Afyonkarahisar","Sağlık / bakım Health / care",123,204,-81
"Afyonkarahisar","Ev alınması Buying a house",411,803,-392
"Afyonkarahisar","Emeklilik Retirement",131,97,34
"Afyonkarahisar","Diğer Other",469,404,65
"Afyonkarahisar","Bilinmeyen Unknown",1397,2152,-755
"Ağrı","Tayin / iş değişikliği Assignation / change of job",1848,4427,-2579
"Ağrı","İşe başlamak / iş bulmak Starting / finding a job",702,2483,-1781
